currency_id,symbol,name,market_cap,price,price_change_percentage_24h,volume_24h,last_updated
167,BNSOL,Binance Staked SOL,1201582960.00,190.6500000000,0.09,20634335.00,2024-12-20 17:08:07.351079
95,BRETT,Brett,1200041407.00,0.1212180000,9.66,161032638.00,2024-12-20 17:08:07.352078
160,ETHDYDX,dYdX,630199231.00,1.4000000000,8.40,137804575.00,2024-12-20 17:08:07.367432
114,DYDX,dYdX,630199231.00,1.4000000000,8.73,137804575.00,2024-12-20 17:08:07.367432
130,XTZ,Tezos,1173376550.00,1.1500000000,3.29,181564962.00,2024-12-20 17:08:07.352078
142,ENS,Ethereum Name Service,1129479698.00,33.9400000000,3.66,607647147.00,2024-12-20 17:08:07.353079
176,XDC,XDC Network,1009349153.00,0.0675080000,0.48,39305235.00,2024-12-20 17:08:07.356079
120,KAIA,Kaia,1272042955.00,0.2167440000,4.30,103452453.00,2024-12-20 17:08:07.350078
156,RON,Ronin,683656854.00,1.8300000000,8.65,77098926.00,2024-12-20 17:08:07.364432
132,SPX,SPX6900,552956238.00,0.5917630000,-10.70,42894647.00,2024-12-20 17:08:07.370431
163,ZK,ZKsync,623419275.00,0.1693800000,4.95,276288658.00,2024-12-20 17:08:07.367432
143,CKB,Nervos Network,451538170.00,0.0098984300,6.74,112506994.00,2024-12-20 17:08:07.379774
140,AXL,Axelar,621827310.00,0.7020960000,5.35,45290264.00,2024-12-20 17:08:07.367432
168,SUPEROETHB,Super OETH,545829774.00,3279.2900000000,4.14,5185808.00,2024-12-20 17:08:07.370431
162,BDX,Beldex,536345132.00,0.0775940000,-1.09,7802896.00,2024-12-20 17:08:07.371432
172,FWOG,Fwog,192781558.00,0.1961530000,13.02,48779985.00,2024-12-20 17:08:07.973514
177,ASTR,Astar,424943067.00,0.0570930000,3.23,78112744.00,2024-12-20 17:08:07.381773
101,PENDLE,Pendle,757706347.00,4.5900000000,2.85,276476085.00,2024-12-20 17:08:07.361168
185,COMP,Compound,665498233.00,74.9400000000,0.61,148183071.00,2024-12-20 17:08:07.364432
193,USDB,USDB,401686681.00,0.9889720000,-0.83,51973914.00,2024-12-20 17:08:07.383773
219,DYM,Dymension,304158175.00,1.3900000000,4.25,39247277.00,2024-12-20 17:08:07.947639
218,LSETH,Liquid Staked ETH,340965663.00,3461.9000000000,4.68,123710.00,2024-12-20 17:08:07.392773
189,CORGIAI,CorgiAI,284893137.00,0.0008235400,-13.90,410396.00,2024-12-20 17:08:07.950639
